epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.476,1.60355,1.52818,1.0976,0.51506,0.28487,0.29003,0.16022,1.4305,0.9877,1.00165,0.00333257,0.00333257,0.00333257
2,1274.32,1.53881,1.16107,1.06289,0.61081,0.32409,0.34055,0.18637,1.40899,0.91751,0.99484,0.00657026,0.00657026,0.00657026
3,1896.91,1.54085,1.10424,1.0668,0.46441,0.33723,0.3573,0.19428,1.3932,0.88702,0.99632,0.0097123,0.0097123,0.0097123
4,2518.01,1.5265,1.05978,1.06419,0.484,0.36003,0.37888,0.20791,1.36434,0.84119,0.98568,0.00956957,0.00956957,0.00956957
5,3139.61,1.48914,1.01012,1.04986,0.52061,0.36645,0.39849,0.22067,1.34518,0.81648,0.97871,0.00942609,0.00942609,0.00942609
6,3751.84,1.46925,0.98199,1.04172,0.52268,0.38116,0.41167,0.22857,1.33429,0.79825,0.97392,0.00928261,0.00928261,0.00928261
7,4364.12,1.45563,0.96416,1.03535,0.52933,0.38821,0.42038,0.23402,1.32437,0.78568,0.96945,0.00913913,0.00913913,0.00913913
8,4977.62,1.44436,0.95177,1.03149,0.54449,0.38721,0.42781,0.23849,1.31823,0.77651,0.96633,0.00899565,0.00899565,0.00899565
9,5590.5,1.43721,0.94373,1.02867,0.56169,0.38469,0.43086,0.24162,1.31255,0.77025,0.96418,0.00885217,0.00885217,0.00885217
10,6204.7,1.43073,0.93407,1.02528,0.55271,0.39187,0.43544,0.24383,1.30958,0.76536,0.96252,0.0087087,0.0087087,0.0087087
11,6818.13,1.42695,0.92784,1.02325,0.55251,0.39535,0.43714,0.24507,1.30543,0.76074,0.96087,0.00856522,0.00856522,0.00856522
12,7430.92,1.4232,0.92317,1.02129,0.6801,0.39701,0.4406,0.24714,1.30273,0.75717,0.95995,0.00842174,0.00842174,0.00842174
13,8044.62,1.41833,0.91618,1.01947,0.68485,0.396,0.4423,0.2484,1.30104,0.75506,0.95919,0.00827826,0.00827826,0.00827826
14,8666.15,1.41548,0.91591,1.01823,0.6848,0.39766,0.4435,0.24925,1.29982,0.75317,0.95853,0.00813478,0.00813478,0.00813478
15,9280.06,1.41034,0.90976,1.01657,0.68444,0.39943,0.44463,0.25002,1.29867,0.7515,0.95787,0.0079913,0.0079913,0.0079913
